"id","Type","Bezeichnung"
"762","S","Stkr.München-Pasing/Obb"
"763","S","Stkr.Eichstätt-Stadt und Land, Hilpoltstein/Mfr"
"764","S","StKr.Eichstätt -Stadt und-Land, Weißenburg i. Bay.-Stadt und -Land/Mfr"
"765","S","Eichstätt"
"766","S","Stkr.Ingolstadt-Stadt und Land/Obb"
"767","S","Stkr.Sonthofen/Schw"
"768","S","Marktoberdorf"
"769","S","Stkr.Wegscheid-Wolfstein-Grafenau/Ndb"
"770","S","Main-Spessart"
"771","S","Wunsiedel, Kulmbach"
"772","S","Stkr.München-Fürstenried/Obb"
"773","S","Stkr.Nürnberg-Mitte/Mfr"
"774","S","Dachau"
"775","S","Stkr.Fürstenfeldbruck-Ost/Obb"
"776","S","Stkr.München IX,Wasserburg/Obb"
"777","S","Stkr.Kaufbeuren/Schw"
"778","S","Rottal-Inn"
"779","S","Deggendorf"
"780","S","Stkr.Neu-Ulm-Stadt und -Land,Illertissen/Schw"
"781","S","Stkr.Nürnberg-Stadt (Nord)/Mfr"
"782","S","Stkr.Münchberg-Naila/Ofr"
"783","S","Stkr.Miltenberg"
"784","S","Wkr.Würzburg III/Ufr"
"785","S","Stkr.Würzburg I und III/Ufr"
"786","S","Stkr.Würzburg I,Brückenau-Gemünden-Hammelburg/Ufr"
"787","S","Stkr.Miltenberg-Obernburg,Aschaffenburg/Ufr"
"788","S","Stkr.Miesbach-Wolfratshausen/Obb"
"789","S","Stkr.München-Moosach/Obb"
"790","S","Regensburg-Land-Ost"
"791","S","Regensburg-Land"
"792","S","Stkr.Marktheidenfeld-Lohr,Alzenau-Aschaffenburg-Land,Miltenberg-Obernburg,Aschaffenburg-Stadt/Ufr"
"793","S","Schweinfurt-Nord"
"794","S","Bad Tölz-Wolfratshausen"
"795","S","Stkr.Erlangen,Fürth,Nürnberg I,III u. IV/Mfr"
"796","S","Pfaffenhofen a.d.Ilm"
"797","S","Augsburg-Land-Nord"
"798","S","Augsburg-Land-Süd"
"799","S","Stkr.Garmisch-Partenkirchen/Obb"
"800","S","Stkr.Kempten-Stadt und -Land/Schw"
"801","S","Stkr.Lichtenfels-Staffelstein,Selb-Rehau,Münchberg-Naila/Ofr"
"802","S","Stkr.Bamb.-L.-Hö.a.A.,Forch.-Ebermannst.,Bayr.-Pegn.,Kulmb.-Stadtstein.,Selb-Rehau,Münchb.-Nai./Ofr"
