"id","Name","Vorname","Titel","Beruf","geb_am","geb_in","ges_am","ges_in","f_id","k_id"
"831","Pointner","Mannfred","","Landrat a.D.","1943-02-05","Franzheim","null","","4","1"
"854","Pöllath","Alfred","","Fuhrunternehmer und Holzhändler","1916-12-18","Dettnach","1996-10-04","Amberg","3","3"
"832","Pollwein","Heinz","Dr.","Zahnarzt","1920-08-27","Amberg","2007-04-28","Bad Griesbach","5","3"
"833","Pongratz","Ingeborg","","Verwaltungsangestellte","1946-12-19","Passau","null","","1","1"
"834","Ponnath","Bruno","","Dipl.-Brauingenieur","1931-01-02","Kemnath-Stadt","null","","9","3"
"835","Popp","Hans","","Dipl.-Ing.","1909-02-28","Roth","1978-07-23","Roth","8","3"
"855","Pösl","Johann","","Landrat a.D., Bezirkstagspräsident a.D.","1907-03-20","Saubersrieth (Moosbach)","null","k.A.","3","3"
"836","Praml","Heinrich","","Bauunternehmer","1912-07-10","Oberanschießing","2004-02-18","","9","4"
"837","Prandl","Anton","","Kaufmann, Bürgermeister","1892-09-08","Bad Aibling","1976-10-25","Penzberg","3","3"
"838","Pranghofer","Karin","","Sozialpädagogin, grad.","1951-10-22","Aschaffenburg","null","","8","null"
"839","Prechtl","Wolfgang","","Studienprofessor der katholischen Religionslehre am Neuen Gymnasium in Regensburg","1883-09-10","Trausnitz/Oberpfalz","1964-08-15","Regensburg","3","4"
"840","Prentl","Sepp","","Oberst der Bundeswehr","1916-10-14","Rosenheim","1994-07-16","Mittenwald","9","3"
"841","Priller","Otto","","Bäckermeister, Gewerkschaftssekretär","1887-10-25","Hammerberg (Passau)","1963-01-12","München","3","4"
"842","Prittwitz und Gaffron von","Friedrich","Dr. jur.","Jurist, Botschafter a.D.","1884-09-01","Stuttgart","1955-09-01","Tutzing","7","3"
"843","Probst","Maria","Dr.","Lehrerin","1902-07-01","München","1967-05-01","München","7","4"
"844","Prochazka","Herbert","","Industriekaufmann","1923-08-23","Groß-Priesen/Elbe","2007-03-11","Bruckmühl/Mangfall","3","3"
"845","Professor Kling","Karl","","Dipl.Ingenieur","1928-12-18","Krumbach","null","","9","3"
"846","Prümmer","Franz","","Diözesansekretär","1920-04-04","Winterstettenstadt","1981-11-06","Oberthulba","9","4"
"847","Prüschenk","Josef","","Fabrikant, Landrat","1908-10-26","Kirchenthumbach","1966-11-22","Kirchenthumbach","3","3"
"848","Pschierer","Franz Josef","","Staatssekretär","1956-07-01","Haunstetten","null","","8","1"
"849","Psimmas","Ingrid","","LKW-Fahrerin","1945-01-15","Berlin","2009-06-14","Berlin","23","3"
"850","Puls","Hans","","Kaufmann","1900-11-07","Iglau, Mähren","1968-02-10","Schwarzach","3","3"
"851","Puntsch","Eberhard","Dr.","Freier Schriftsteller","1926-05-07","Dresden","2015-01-07","","9","3"
"856","Raab","Max","","Kaufmann","1902-07-02","Hof/Saale","1973-01-26","","9","2"
"857","Rabenstein","Christoph","Dr.","Lehrer, Akademischer Rat","1952-02-27","Seidwitz","null","","8","2"
"858","Rabenstein","Ernst","","Kaufmann","1903-03-03","Bad Windsheim","1981-07-22","Würzburg","3","3"
"859","Radermacher","Karin","","Sozialarbeiterin, Dipl.-Psychologin","1945-02-10","Ladenburg","null","","8","2"
"860","Radlmeier","Helmut","","Bankkaufmann","1966-09-21","Landshut","null","","7","1"
"861","Radwan","Alexander","","Rechtsanwalt, Dipl.-Ing. (FH)","1964-08-30","München","null","","6","1"
"862","Rainer","Alois","","Land- und Gastwirt","1921-06-16","Untergrub b. Haibach","2002-05-14","Haibach","7","3"
"863","Rambold","Hans","","Textilbetriebswirt BTE, selbst. Einzelhändler","1954-05-09","Buchbach","null","","8","1"
"864","Ramelsberger","Ludwig","","Bankdirektor","1899-08-06","Passau","1965-01-22","Vilshofen","3","1"
"865","Ranner","Sepp","","Landwirtschaftsmeister","1939-11-10","Mitterham, Landkreis Rosenheim","null","","4","1"
"869","Raß","Hans","Dr.","Rechtsanwalt","1911-06-13","Riedenburg","1997-04-11","Amberg","3","3"
"866","Rau","Hans","","Malermeister","1916-03-23","München","1986-01-24","Weilheim","52","3"
"867","Rauscher","Doris","","Erzieherin, Sozial- und Gesundheitfachwirtin","1967-01-16","Steinhöring","null","","8","1"
"868","Rauter","Konrad","","Verwaltungsinspektor a.D.","1907-09-30","Augsburg","2001-11-05","Augsburg","7","5"
"870","Redepenning","Ursula","","Hausfrau","1944-11-12","Geislingen/Steige","null","","8","3"
"871","Regensburger","Hermann","","Staatssekretär a.D., Dipl.Verw.Wirt (FH)","1940-07-09","Ingolstadt","null","","8","1"
"872","Reich","Christel","","Hausfrau","1920-11-21","Gilgenburg/Ostpreußen","null","k.A.","7","4"
"873","Reichhart","Hans","Dr.","Richter am Amtsgericht","1982-06-20","Burgau","null","","7","1"
"874","Reichhart","Markus","","Staatl. gepr. Augenoptiker, Augenoptikermeister","1966-06-11","Ingolstadt","null","","9","1"
"875","Reichl","Josef","","Bauer und 2.Bürgermeister","1907-07-06","Schaltdorf","1986-06-19","Rottenburg/Laaber","7","4"
"876","Reichstein","Wiily","Dr.","prakt.Arzt","1915-12-09","Breslau","1978-08-22","Landau a.d.Isar","5","3"
"877","Reiland","Willi","Dr. jur.","Staartsanwalt","1933-11-02","Oberaltstadt/Sudetenland","2015-11-14","","7","1"
"880","Reiß","Tobias","","Rechtsanwalt","1968-08-23","Bayreuth","null","","8","1"
"881","Reißenweber","Rudolf","","Bauer und Bürgermeister a.D.","1907-08-17","Weidach","1968-10-20","Weidach","3","3"
"878","Reisinger","Alfred","","Dipl.-Verwaltungswirt (FH)","1949-02-04","Straubing","null","","8","1"
"879","Reitmeier","Karl","","Schneidermeister","1893-06-05","Cham","1967-10-05","Cham","3","3"
