"id","Bezeichnung"
"140","Untersuchungsausschuss zur Prüfung des Vorgehens von Behörden und Einzelpersonen im Zusammenhang mit möglichen unzulässigen Baupreisabsprachen"
"101","Untersuchungsausschuss zur Prüfung einzelner Vorgänge im Staatsministerium für Ernährung, Landwirtschaft und Forsten, Fall Urbancyk, Fall Gehring, Fall Steffen, Fall Nüßlein"
"254","Untersuchungsausschuss zur Prüfung etwaiger unzulässiger staatlicher Einflussnahme seitens bayerischer Amtsträger auf die strafrechtlichen Ermittlungen gegen Karlheinz Schreiber u.a."
"262","Untersuchungsausschuss zur Prüfung etwaiger unzulässiger staatlicher Vergünstigungen für den Deutschen Orden, Brüder vom Deutschen Haus Sankt Mariens in Jerusalem - Deutsche Provinz - durch Mitglieder der Staatsregierung , bayerische Behörden und/oder ba"
"134","Untersuchungsausschuss zur Prüfung von in der Presse erhobenen Vorwürfe gegen den stellvertretenden Vorsitzenden der SPD-Landtagsfraktion Karl-Heinz Hiersemann und gegen den Assistenten der SPD-Landtagsfraktion Günther Plass wegen des Verdachts der Weiter"
"69","Untersuchungsausschuss zur Prüfung von Kreditfällen"
"192","Untersuchungsausschuss zur Prüfung von Vorwürfen gegen bayerische Behörden sowie zur Prüfung personeller Konsequenzen bei der Bayerischen Landesbank im Zusammenhang mit Steuerstrafverfahren bzw. strafrechtlichen Ermittlungen gegen Schleicher, Mega-Petrol"
"126","Untersuchungsausschuss zur Überprüfung der derzeitigen Organisation der Landpolizei"
"292","Untersuchungsausschuss zur Überprüfung der Vorgänge um die Erteilung der Spielbankkonzessionen)"
"56","Untersuchungsausschuss zur Überprüfung des Verdachts, dass das Kabinettsmitglied Dr. Peter Gauweiler Beziehungen gegen monatlich 10 .000 DM plus Mehrwertsteuer verpachtet hat."
"217","Untersuchungsausschuss zur Untersuchung der gegen die Abgeordneten Höllerer und Strasser erhobenen Vorwürfe"
"183","Untersuchungsausschuss zur Untersuchung der Missstände im Staatsministerium für Wirtschaft und den Wirtschaftsämtern"
"204","Untersuchungsausschuss zur Untersuchung der Personenverhältnisse in der Gesundheitsabteilung des Staatsministeriums des Innern"
"199","Untersuchungsausschuss zur Untersuchung der Vorgänge beim Bau der Häuser der Staatsforstverwaltung in Geiselgasteig"
"259","Untersuchungsausschuss zur Untersuchung der Vorgänge im Staatsministerium für Sonderaufgaben bei der Regierungsbildung"
"353","V. Vizepräsident"
"365","V.Ausschuß für die weitere Vorprüfung beanstandeter Wahlen"
"26","Verfassunggebende Landesversammlung"
"185","Verfassunggebende Landesversammlung - Eingabenausschuß"
"143","Verfassunggebende Landesversammlung - Flüchtlingsausschuß"
"66","Verfassunggebende Landesversammlung - Haushaltsausschuß"
"213","Verfassunggebende Landesversammlung - Verfassungsausschuß"
"214","Verfassunggebende Landesversammlung - Wahlprüfungsausschuß"
"225","Verfassunggebende Landesversammlung - Wirtschaftsausschuß"
"374","Verfassungs-Ausschuß"
"226","Verfassungsgebende Landesversammlung - Sozialpolitischer Ausschuß"
"282","Verkehrs- u.Untersuchungsausschuß - Kfz-Beschlagnahmungen"
"250","Verkehrsausschuß"
"229","Verkehrsausschuß u. Untersuchungsausschuß - Kfz-Beschlagnahme"
"145","Verkehrsausschuß u. Untersuchungsausschuß - Kfz-Beschlagnahmen"
"280","Verwaltungsrat der Gesellschaft zur Aufsuchung von Bodenschätzen"
"345","Verwaltungsrat des Bayerischen Rundfunks"
"269","Verwaltungsrat des Versorgungswerks"
"364","VI.Abteilung"
"245","Vorbereitender Verfassungsausschuß"
"169","Vorparlament"
"343","Vorsitzende"
"261","Vorsitzender"
"223","Wahlausschuß beim Finanzgericht München"
"331","Wahlausschuß beim Finanzgericht Nürnberg"
"38","war in keinem Ausschuß vertreten"
"322","Wirtschaftliche Aufbauvereinigung"
"111","Wirtschaftsrat in Frankfurt/M."
"387","X.Lehrergesetz-Ausschuß"
"297","XI.Ausschuß für Beamtenfragen"
"67","Zulassungsausschuß beim Milch- und Fettwirtschaftsverband"
"22","Zwischenausschuß"
"105","Zwischenausschuß (f.d.FFG)"
"103","Zwischenausschuß (f.d.FPV)"
"303","Zwischenausschuß und des Ständiger Ausschuß"
"10","Zwischenausschuss"
