"pa_id","a_id","Typ","von","bis"
"39","54","Mitglied","1954-12-13","1958-12-03"
"39","54","Mitglied","1958-12-04","1962-12-06"
"42","54","Mitglied","1955-01-14","1958-12-03"
"42","54","Mitglied","1962-05-03","1962-12-06"
"64","54","Mitglied","1954-12-13","1958-12-03"
"72","54","Mitglied","1954-05-18","1954-12-12"
"72","54","Mitglied","1955-01-12","1958-12-03"
"107","54","Mitglied","1950-11-27","1954-12-12"
"10","55","Mitglied","1982-07-23","1982-10-19"
"10","55","stv. Mitglied","1978-09-20","1978-10-29"
"10","55","stv. Mitglied","1994-07-21","1994-10-14"
"13","55","stv. Mitglied","1994-11-24","1998-09-27"
"18","55","Mitglied","1982-11-18","1986-10-21"
"23","55","Mitglied","1974-02-20","1974-11-11"
"23","55","Mitglied","1974-11-19","1978-10-29"
"23","55","Mitglied","1978-11-07","1982-10-19"
"23","55","Mitglied","1982-10-27","1986-10-21"
"23","55","Mitglied","1986-11-12","1990-10-23"
"23","55","Mitglied","1990-10-30","1994-10-14"
"35","55","Mitglied","1970-12-03","1974-02-20"
"39","55","Mitglied","1974-11-19","1978-10-29"
"64","55","Mitglied","1978-10-30","1982-10-19"
"64","55","Mitglied","1982-10-27","1986-10-21"
"64","55","Mitglied","1986-10-22","1990-10-23"
"64","55","Mitglied","1990-10-24","1994-10-14"
"73","55","Mitglied","1970-12-03","1974-11-11"
"81","55","stv. Mitglied","1974-03-27","1974-03-27"
"81","55","stv. Mitglied","1994-05-23","1994-05-23"
"89","55","Mitglied","1994-10-15","1998-09-27"
"89","55","stv. Mitglied","1986-10-22","1990-10-23"
"92","55","Mitglied","1986-12-10","1990-10-23"
"92","55","Mitglied","1990-11-19","1994-10-14"
"92","55","Mitglied","1994-11-10","1998-09-27"
"95","55","stv. Mitglied","1986-12-10","1990-10-23"
"118","55","stv. Mitglied","1976-10-26","1977-02-15"
"119","55","Mitglied","1989-02-02","1990-07-20"
"120","55","stv. Mitglied","1990-06-01","1990-07-12"
"121","55","stv. Mitglied","1991-10-23","1994-07-13"
"122","55","Mitglied","1993-10-01","1994-10-14"
"122","55","Mitglied","1994-11-24","1998-09-27"
"123","55","Mitglied","1994-11-10","1998-09-27"
"124","55","Mitglied","1999-07-08","2003-05-07"
"11","56","stv.Vorsitzender","1947-04-07","1948-04-28"
"20","56","Mitglied","1947-01-29","1950-11-26"
"22","56","Mitglied","1946-12-16","1946-12-16"
"31","56","Mitglied","1947-01-29","1947-05-30"
"81","56","Mitglied","1949-08-26","1949-08-26"
"100","56","Mitglied","1947-05-30","1950-11-26"
"125","56","Mitglied","1947-04-28","1950-11-26"
"126","56","Mitglied","1948-04-28","1950-11-26"
"127","56","Mitglied","1949-11-04","1950-11-26"
"7","57","Mitglied","1974-11-19","1978-10-29"
"10","57","Mitglied","1982-07-23","1982-10-19"
"10","57","Mitglied","1986-07-24","1986-10-21"
"39","57","Vorsitzender","1978-11-16","1982-10-19"
"39","57","Vorsitzender","1982-10-27","1986-10-21"
"39","57","Vorsitzender","1986-11-12","1988-10-19"
"51","57","Mitglied","1974-11-19","1978-10-29"
"51","57","Mitglied","1978-11-07","1982-10-19"
"51","57","Mitglied","1982-10-27","1986-10-21"
"81","57","Mitglied","2004-03-17","2004-03-17"
